haiku,translation,injection
水桶にうなずきあふや瓜茄子,"'In the water tab, bumping their heads zukkiny and eggplant' or 'В лохани с водой Поддакивают друг другу Кабачок и баклажан'",bath scene
夜着に寝てかりがね寒し旅の宿,"'Like a migrating goose, shivering, I am going to sleep in a cold hotel room' or 'Накрылся футоном Дрожу будто гусь перелетный Ночной мой приют'",joy from cozy bed
大雪に行方不明の福寿草,"'In the blizzard, where have you gone, naive flowers of the happy long life?' or 'Как снег валит И где же вы теперь? Цветы Счастливой долгой жизни'",confidence in the resilience of hope
文月の返しに落る一葉かな,"'July, month of love letters - a fallen tree leaf is what I have gotten in return' or 'Месяц любовных посланий А мне в ответ сорвался Первый лист!'",joy from mutual love
言い出せずでデート帰りは猛ダッシュ,"'Uncapable to say a word, from a date, I rush' or 'И слова не вымолвить В страшной спешке я мчу Со свидания сюда'",perfect communication
夏みかん酸っぱしいまさら純潔など,"'Even orange I have gotten happen to be sour, and you dare to talk to me about such things a chastity?' or 'Мне показался кислым Летний апельсин и уж теперь Какая тут невинность…'",bowing to society rules
北窓をふさぎし鐘のきこえけり,"'I sealed north windows, and now I can clearly hear bells ringing' or 'Законопатил Окно на север и тут же Колокола звон'",fascinating by loud summer voices
雨に鎖す紗窓の外や梨花の雪,"'Shut to my room by rain that looks like snow of pear flower petals behind the dim window' or 'Заперт дождем: За окном, затянутым шелком, Грушевый снег'",winter scene
のりながら馬草はませて月見哉,"'When travelling, let the horse feed, while enjoying the view of the full Moon' or 'Притормозил коня: Пусть вдоволь щиплет травку Пока луной любуюсь я!'",need to rush
古池や芭蕉飛び込む水の音,'Old pond and sound of water from banana Basho jump' or 'Старый пруд! От прыжка Басё Зазвучала вода',absurdity
鳴くな虫わかるる恋は星に冴え,"'Don't cry little critters - it is what stars are - leave those who love them' or 'Чу! Не ревите, букашки! Звезды и те расстаются с теми, Кто в них влюблен'",fathfullness of celebrity
山や雪知らぬ鳥鳴く都かな,"'Mountains and snow, as well as voices of the unknown birds, that is the capital city' or 'А в горах-то! уж снег И неведомы птицы щебечут В городе столичном'",tranquillity of the rural life
こぼれ米ねずみと分かつ秋の暮れ,'Autumn dusk shares spilt rice with a mouse' or 'Просыпанный рис Вместе с мышонком делю Осени закат',greediness toward hungry
夫ならぬひとによりそふ青嵐,"'Leaning to a man who will never become my husband, it is like a spring storm' or 'Всем телом льну К тому кто мне не муж Зеленая буря'",family values of traditional society
一行の心を籠めし年始状,'New Year greeting manages to express your heart in one sentence' or 'Одной строкой Всю душу вложить в письме Новогоднем',need for long letters
ゆきゆきてたふれ伏とも萩の原,"'Even if I fall on that snowy pass, tundra shrubs will flower' or 'На этом пути Паду даже если я, Полю - хаги цветы!'",desperate feelings
暗く暑く大群集と花火待つ,"'Waiting for fireworks means large crowd in darkness and sweat' or 'И жарко, и темно Стоим толпой и ждём, вот-вот Запустят фейерверк'",beauty of fireworks
満月の なまなまのぼる 天の壁,'Dome of sky speed - like the Moon rises' or 'Как ме-е-дленно Взбирается округлая луна По куполу небес',fast movement
池あらば飛で芭蕉に聞かせたい,"'If there is a pond, I shall jump, so Basho will hear' or 'Будет пруд Уж я нырну: и пусть Басё услышит!'",activity in nature
をちこちに滝の音聞く若葉かな,"'Here and there, young leaves listen to waterfall voice' or 'И далеко и близко Внимает звукам водопада Юная листва!'",ignorance of young
此あたり目に見ゆるものみなすゞし,'All things before your eyes look like a cool silk' or 'В этих краях Все вещи видимые глазу Несут прохладу',desire for warmth
生涯の決断だってするトイレ,'Toilet is the place for life-defining decisions' or 'Принимаются здесь Жизненно важные решения Мой туалет!',irresponsibility
春昼の指とどまれば琴も止む,"'To enjoy Spring quiet day, I stopped playing, and koto went silent' or 'В весенний полдень Пальцы уберу со струн И кото замолчит'",liveliness of Spring
ぜったいにゆうしょうそうなウンチでた,"'Defenitly, what came out looks like a shit of champion' or 'Вот уж точно Тянут на первое место Эти каки'",disappointing outcome
除夜の湯に肌触れあへり生くるべし,"'In the hot water of New Year's bath, our bare skins finally came inещ contact - it is time to live at full extent' or 'В купели новогодней Соприкоснулась кожа с кожей — А значит надо жить'",feeling of modesty
ほのかなる空の匂ひや秋の晴,'Clear Autumn days - aura of sky becomes faint' or 'Неба аромат Едва-едва уловимый! Солнечная осень',intensity of senses
冬薔薇やわが掌が握るわが生涯,"'My hands can hold both, and winter rose and my destiny' or 'Зимняя роза! В руках своих держу Свою судьбу'",inpartiality to gentle things
古池やみんな飛び込もう芭蕉次に,"'In the old pond, let us all jump after Basho' or 'Старый пруд! Прыгнем все вместе  Вслед за Басё'",phobia of water
